Failed with 404
         458229 function calls (433994 primitive calls) in 1.165 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 typing.py:1476(__getitem__)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      187    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      531    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       80    0.000    0.000    0.000    0.000 typing_extensions.py:3086(_has_generic_or_protocol_as_origin)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      412    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        2    0.000    0.000    0.680    0.340 connection.py:534(getresponse)
        2    0.000    0.000    0.000    0.000 response.py:602(__init__)
      200    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      358    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
        3    0.000    0.000    0.009    0.003 utils.py:1(<module>)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      252    0.000    0.000    0.100    0.000 __init__.py:226(compile)
      227    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      2/1    0.000    0.000    0.964    0.964 sessions.py:673(send)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
       41    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      346    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    80/47    0.000    0.000    0.096    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       77    0.000    0.000    0.000    0.000 typing.py:1205(__getattr__)
       45    0.000    0.000    0.000    0.000 functools.py:477(lru_cache)
      399    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
      532    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       52    0.000    0.000    0.000    0.000 functools.py:516(decorating_function)
      525    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      223    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      176    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.092    0.092 connection.py:895(_ssl_wrap_socket_and_match_hostname)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2256(__init__)
        2    0.000    0.000    0.000    0.000 response.py:341(__init__)
      519    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
       57    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
      429    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       33    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      200    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
        2    0.000    0.000    0.000    0.000 response.py:710(_init_length)
      288    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        2    0.000    0.000    0.679    0.340 client.py:324(begin)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 ssl.py:1308(_real_close)
  127/125    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      404    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        1    0.000    0.000    0.092    0.092 ssl.py:955(_create)
      305    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
        2    0.000    0.000    0.961    0.480 connectionpool.py:377(_make_request)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.046    0.046 css_parser.py:1(<module>)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      518    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      262    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.280    0.280 connection.py:718(connect)
        2    0.000    0.000    0.678    0.339 client.py:291(_read_status)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    71/51    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
        2    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       64    0.000    0.000    0.001    0.000 typing.py:892(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
       33    0.000    0.000    0.000    0.000 _collections.py:300(add)
      308    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
       21    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
  133/115    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:603(LocaleTextCalendar)
       39    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2790(_make_nmtuple)
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
        2    0.000    0.000    0.961    0.481 connectionpool.py:592(urlopen)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.962    0.481 adapters.py:613(send)
