Failed with 404
         458229 function calls (433994 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       80    0.000    0.000    0.000    0.000 typing_extensions.py:3086(_has_generic_or_protocol_as_origin)
       33    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      187    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      532    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      3/2    0.000    0.000    1.142    0.571 sessions.py:159(resolve_redirects)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
        1    0.000    0.000    0.000    0.000 ssl.py:1308(_real_close)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      252    0.000    0.000    0.094    0.000 __init__.py:226(compile)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
  127/125    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       41    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       45    0.000    0.000    0.000    0.000 functools.py:477(lru_cache)
      399    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
        1    0.000    0.000    0.091    0.091 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.015    0.015 client.py:1(<module>)
      346    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       40    0.000    0.000    1.279    0.032 {method 'readline' of '_io.BufferedReader' objects}
       11    0.000    0.000    1.279    0.116 ssl.py:1236(recv_into)
      525    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    1.281    0.641 client.py:324(begin)
       77    0.000    0.000    0.000    0.000 typing.py:1205(__getattr__)
        2    0.000    0.000    1.568    0.784 connectionpool.py:592(urlopen)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
    80/47    0.000    0.000    0.093    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.091    0.091 ssl.py:955(_create)
        1    0.000    0.000    1.762    1.762 financial.py:1(<module>)
        1    0.000    0.000    0.092    0.092 connection.py:895(_ssl_wrap_socket_and_match_hostname)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
        2    0.000    0.000    1.567    0.784 connectionpool.py:377(_make_request)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
       33    0.000    0.000    0.000    0.000 _collections.py:300(add)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    1.570    0.785 adapters.py:613(send)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       45    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      176    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
      200    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
      404    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
      519    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        2    0.000    0.000    1.279    0.640 client.py:291(_read_status)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x705f278b3740}
       10    0.000    0.000    0.000    0.000 connection.py:404(putheader)
       52    0.000    0.000    0.000    0.000 functools.py:516(decorating_function)
        1    0.000    0.000    0.284    0.284 connection.py:718(connect)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       11    0.000    0.000    1.279    0.116 socket.py:706(readinto)
        1    0.000    0.000    0.000    0.000 calendar.py:603(LocaleTextCalendar)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       57    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       58    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      518    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       39    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.045    0.045 css_parser.py:1(<module>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2256(__init__)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
        2    0.000    0.000    0.000    0.000 response.py:602(__init__)
      262    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
       24    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
       21    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        2    0.000    0.000    0.001    0.000 adapters.py:359(build_response)
  133/115    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
    71/51    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      288    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
      223    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
       22    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
       39    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        3    0.000    0.000    0.001    0.000 utils.py:755(should_bypass_proxies)
    29/16    0.000    0.000    0.112    0.007 {built-in method builtins.__import__}
        1    0.000    0.000    0.192    0.192 connection.py:27(create_connection)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
       25    0.000    0.000    0.001    0.000 typing.py:747(Optional)
       64    0.000    0.000    0.001    0.000 typing.py:892(__init__)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        3    0.000    0.000    0.011    0.004 response.py:1(<module>)
        1    0.000    0.000    0.103    0.103 socket.py:959(getaddrinfo)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       52    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
