Request: https://finance.yahoo.com/quote/MSFT/financials
Error: Failed with: 301
         461229 function calls (437349 primitive calls) in 0.748 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      495    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      193    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
  543/336    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      598    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
  400/399    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     1209    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
     1094    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       88    0.000    0.000    0.002    0.000 typing.py:1476(__getitem__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
  241/235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      103    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     1584    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      231    0.000    0.000    0.000    0.000 typing.py:1205(__getattr__)
      895    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      626    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      509    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      135    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      326    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      369    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      571    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      521    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       38    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
     1197    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       57    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      763    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      494    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      274    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      446    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
  156/100    0.000    0.000    0.074    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      357    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      742    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      172    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      495    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
  212/149    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      198    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      786    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
     22/8    0.000    0.000    0.001    0.000 inspect.py:2497(_signature_from_callable)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      116    0.000    0.000    0.002    0.000 typing.py:1485(copy_with)
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       82    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      895    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      491    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      193    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       32    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
      639    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        6    0.000    0.000    0.207    0.035 http11.py:209(_receive_event)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        9    0.000    0.000    0.001    0.000 _connection.py:272(_process_event)
        1    0.000    0.000    0.055    0.055 _client.py:1(<module>)
      260    0.000    0.000    0.089    0.000 __init__.py:226(compile)
      275    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
    51/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      218    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      386    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.043    0.043 dammit.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
        1    0.000    0.000    0.017    0.017 client.py:1(<module>)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       31    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      833    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      199    0.000    0.000    0.000    0.000 typing.py:2339(get_origin)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      447    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       18    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
      737    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 _headers.py:152(normalize_and_validate)
       74    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      304    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 ssl.py:1308(_real_close)
      454    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
      448    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       27    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
     1226    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       16    0.000    0.000    0.000    0.000 typing.py:1999(<genexpr>)
        3    0.000    0.000    0.001    0.000 typing.py:2809(__new__)
        1    0.000    0.000    0.207    0.207 http11.py:65(handle_request)
        8    0.000    0.000    0.000    0.000 inspect.py:2393(_signature_from_function)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
       84    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       11    0.000    0.000    0.001    0.000 _connection.py:438(next_event)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    0.215    0.215 ssl.py:955(_create)
       30    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
       28    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.319    0.319 connection.py:105(_connect)
       30    0.000    0.000    0.000    0.000 inspect.py:3072(<genexpr>)
      193    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      185    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
      335    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       10    0.000    0.000    0.000    0.000 _models.py:144(__init__)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       30    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       98    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
